car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,rating_min,rating_mean,distance_total,speed_max_max,user_ride_quality_mean,deviation_normal_mean,deviation_normal_std,deviation_min_max_diff,ride_quality_slope,driver_age_mean,driver_rating_mean,driver_accidents_mean,work_duration_mean,work_duration_max,destroy_degree_std,destroy_degree_sum,work_type_nuniq,work_type_mode,worker_speed_mean,worker_experience_mean
y13744087j,Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,108.53,another_bug,0.1,4.737758620689656,12141310.405393252,180.85572556050948,-0.9011900371191339,-0.12039080459770116,0.8617501731011208,9.001,-0.012376620821058368,33.51149425287356,8.229885057471265,17.724137931034484,26.65714285714286,56,2.7328471932240572,106.7,4,reparking,26.10326471768556,275.6857142857143
O41613818T,VW Polo VI,economy,petrol,3.9,2015,78218,2021,35.2,electro_bug,0.0,4.48051724137931,18039092.838364355,187.8627335471007,14.018104902452961,6.050011494252874,16.10264857473001,72.761,0.1477580804833221,34.98850574712644,7.988505747126437,6.9655172413793105,24.942857142857143,48,2.707232764964527,102.1,5,reparking,26.1127246777624,264.62857142857143
d-2109686j,Renault Sandero,standart,petrol,6.3,2012,23340,2017,38.62,gear_stick,0.1,4.7683908045977015,15883659.427897697,102.38285735291586,0.7227708789869786,-2.2239540229885058,3.1030291070971914,16.401,0.027160067388217666,32.839080459770116,7.843103448275862,9.775862068965518,26.142857142857142,59,2.9780767579883816,130.9,5,repair,26.183919762937755,268.3142857142857
u29695600e,Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,30.34,engine_fuel,0.1,3.880919540229885,16518828.765338147,172.79323664031617,-4.290370291588885,14.77194827586207,14.934987650436689,61.647000000000006,-0.028008175550387097,34.97701149425287,8.524137931034483,19.991304347826087,28.771428571428572,64,3.237750022791141,143.0,4,repair,26.515900223658498,265.85714285714283
N-8915870N,Renault Sandero,standart,petrol,4.7,2012,26428,2017,30.45,engine_fuel,0.1,4.181149425287356,13983174.664415987,203.46228927518268,-13.465341635999714,12.45567816091954,20.915944573980692,70.176,-0.010186220215612534,34.298850574712645,8.112068965517242,15.758333333333333,28.02857142857143,65,3.216757592944284,135.8,4,repair,26.307989862061717,268.6
b12101843B,Skoda Rapid,economy,petrol,2.36,2013,42176,2018,50.93,engine_ignition,0.1,4.3517816091954025,10855890.99269225,180.88628937633771,-16.557342545056095,1.213925287356322,7.816434978973017,36.147000000000006,-0.016901365224378254,34.310344827586206,8.020114942528735,7.436781609195402,23.742857142857144,60,1.7970190068344767,124.9,4,repair,25.997745963029818,267.77142857142854
Q-9368117S,Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,54.79,engine_overheat,0.1,4.392126436781609,8343280.331990728,174.98478561145714,11.799687420860486,-4.27132183908046,5.212583693608469,15.81,-0.029785976181539126,33.02298850574713,7.818965517241379,9.232558139534884,21.571428571428573,35,2.339826898718447,105.5,4,repair,26.318909091069656,265.57142857142856
O-2124190y,Tesla Model 3,premium,electro,3.9,2017,116872,2019,50.26,gear_stick,0.1,4.7123563218390805,9793288.027071977,95.89073640916286,-4.238412047592155,-15.800086206896552,20.80547699090591,74.92,-0.055272517431905116,34.666666666666664,9.11896551724138,14.566265060240964,27.714285714285715,61,2.9981142532649168,113.1,3,reparking,25.986795483787088,266.3142857142857
h16895544p,Kia Sportage,standart,petrol,3.5,2014,56384,2017,33.24,gear_stick,0.32,4.507758620689655,16444046.8943617,101.79861494928544,-2.188319957368694,-16.88423563218391,27.62082966772997,104.318,-0.1237529227466342,32.4367816091954,7.8212643678160925,9.60919540229885,28.37142857142857,69,3.3596468401836974,131.0,4,repair,26.127149155308793,269.34285714285716
K77009462l,Smart ForFour,economy,petrol,4.56,2013,41309,2018,39.43,gear_stick,0.1,4.376839080459771,6975742.479808934,125.25498324154968,4.5832059794189135,-6.435413793103448,9.604198112123596,29.016,-0.05885271572894133,32.839080459770116,7.87183908045977,9.630057803468208,25.2,65,2.721847494168732,115.8,4,repair,26.150364538179506,271.37142857142857
